Step: 84, Loss: 0.19840747117996216, Time: 0.07374334335327148
Step: 85, Loss: 0.20331883430480957, Time: 0.07324957847595215
Step: 86, Loss: 0.21923410892486572, Time: 0.07397580146789551
Step: 87, Loss: 0.19572211802005768, Time: 0.07328295707702637
Step: 88, Loss: 0.21011702716350555, Time: 0.07390117645263672
Step: 89, Loss: 0.20543459057807922, Time: 0.07331562042236328
Step: 90, Loss: 0.20857906341552734, Time: 0.07368087768554688
Step: 91, Loss: 0.19668792188167572, Time: 0.07406067848205566
Step: 92, Loss: 0.2040354460477829, Time: 0.07390189170837402
Step: 93, Loss: 0.198447585105896, Time: 0.07328081130981445
Step: 94, Loss: 0.1886957734823227, Time: 0.07396697998046875
Step: 95, Loss: 0.19875562191009521, Time: 0.0732889175415039
Step: 96, Loss: 0.20420333743095398, Time: 0.0740656852722168
